,mae_list,mse_list,rmse_list,mean_mae,std_mae,mean_mse,std_mse,mean_rmse,std_rmse
"(0.1,20,200)","[3.347476160565603, 3.3561714108986553, 3.395098329559788, 3.442075344677046, 3.4088286489113075]","[14.49060171194828, 14.490297301141469, 14.796932147500513, 14.95099064311504, 14.85192948023552]","[3.806652297222361, 3.8066123129551124, 3.8466780665270797, 3.8666510888771746, 3.8538201151890212]",3.3899,0.0348,14.7162,0.1908,3.8361,0.0249
"(0.1,20,400)","[3.48835539983692, 3.5606406832442166, 3.512231632812981, 3.3693912392021454, 3.4664647999759466]","[15.285965055860652, 15.781832596841786, 15.771623135365639, 14.385111805227655, 15.042177168277593]","[3.909726979708513, 3.9726354724341104, 3.9713502911938705, 3.7927709929848987, 3.878424572977744]",3.4794,0.0633,15.2533,0.5191,3.905,0.0668
"(0.1,50,50)","[2.585954609908963, 2.6655144653918375, 2.5297182164947967, 2.5035788217537918, 2.592709726954533]","[9.304413559438922, 9.242351779793314, 8.565538491521602, 8.44181095090699, 9.235059451305922]","[3.0503136821381047, 3.040123645477814, 2.9266941233278208, 2.9054794700542956, 3.0389240614575947]",2.5755,0.0562,8.9578,0.3737,2.9923,0.0627
"(0.1,50,150)","[3.4036042418923564, 3.3278113799886233, 3.380737632655055, 3.352308777631605, 3.325636520788439]","[14.803089521776917, 14.252448686155141, 14.658465394300036, 14.33384893966195, 14.382288049734399]","[3.84747833285347, 3.775241540107751, 3.82863753759742, 3.7860069914967074, 3.7923987197728035]",3.358,0.0303,14.486,0.2092,3.806,0.0274
"(0.1,50,200)","[3.459258438037483, 3.47932644117612, 3.415320140006757, 3.5239790401467013, 3.4315325474670315]","[14.811664724060643, 15.132740905860384, 14.596702174226706, 15.514004616590682, 14.997629098319623]","[3.8485925640499596, 3.8900823777730444, 3.820563070311326, 3.9387821235238034, 3.872677252020832]",3.4619,0.0381,15.0105,0.3096,3.8741,0.0399
"(0.1,50,400)","[3.5418740601039005, 3.472184184052248, 3.4929118550691514, 3.449059253461899, 3.493892606921484]","[15.773148366993171, 15.076893879322762, 15.57987527866576, 14.97927123289964, 15.485909099882162]","[3.9715423159011123, 3.882897613808889, 3.9471350722601017, 3.8703063487144838, 3.935213984001653]",3.49,0.0307,15.379,0.3027,3.9214,0.0386
"(0.1,100,50)","[2.690254791519824, 2.9864862692466354, 2.9865302813305763, 3.081327380311556, 2.9718539839921956]","[9.296339981127616, 11.577611137675287, 12.396508721532411, 12.404732156341309, 10.92854079803913]","[3.048989993608968, 3.402588887549492, 3.5208676092026536, 3.5220352292873662, 3.305834357320271]",2.9433,0.1324,11.3207,1.1533,3.3601,0.1753
"(0.1,100,150)","[3.3613859234663592, 3.3707495010084196, 3.3987616767733395, 3.3649076408792338, 3.3711134360021133]","[14.31684827736347, 14.28187589139847, 14.643740298498562, 14.015531168863223, 14.092635397589701]","[3.7837611284756694, 3.7791369241400172, 3.826714034063502, 3.743732251225136, 3.7540159026820468]",3.3734,0.0132,14.2701,0.2183,3.7775,0.0288
"(0.1,100,200)","[3.51825374101316, 3.4608641759007543, 3.5058748067230305, 3.522096285136866, 3.494688670254128]","[15.608855864808511, 15.448379469142779, 15.020246215639927, 15.51980944847132, 15.47387188563252]","[3.9508044579311328, 3.930442655623254, 3.8755962400177766, 3.93951893617372, 3.9336842635921503]",3.5004,0.022,15.4142,0.2044,3.926,0.0261
"(0.1,100,400)","[3.4856786809988924, 3.508404885878055, 3.4312354639359284, 3.4377130066768142, 3.560805511103775]","[15.356924878251744, 15.407343627597866, 14.988111668158638, 14.96293903608641, 15.71423596423019]","[3.918791252191388, 3.925218927346329, 3.871448264946677, 3.868195837349295, 3.964118560819062]",3.4848,0.0478,15.2859,0.2815,3.9096,0.036
